Generation,Best RMSE,Current Generation RMSE,Best Affinity,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features
1,47.65014551325309,47.65014551325309,0.0205549231035205,532,3,2,1,log2
2,47.65014551325309,47.65014551325309,0.0205549231035205,532,3,2,1,log2
3,47.277144856461575,47.277144856461575,0.02071373530835796,562,3,2,1,log2
4,46.44955871632715,46.44955871632715,0.021075011592381895,145,6,2,1,sqrt
5,45.74682706649744,45.74682706649744,0.021391826199829527,113,6,2,1,sqrt
6,45.74682706649744,45.74682706649744,0.021391826199829527,113,6,2,1,sqrt
7,45.74682706649744,45.74682706649744,0.021391826199829527,113,6,2,1,sqrt
8,45.70512784947166,45.70512784947166,0.021410925224805102,113,4,2,1,sqrt
9,45.70512784947166,45.70512784947166,0.021410925224805102,113,4,2,1,sqrt
10,45.705127849471644,45.705127849471644,0.02141092522480511,113,4,2,1,sqrt
11,45.57263405296055,45.57263405296055,0.021471836848713337,111,4,2,1,sqrt
12,45.57263405296055,45.57263405296055,0.021471836848713337,111,4,2,1,sqrt
13,45.57263405296055,45.57263405296055,0.021471836848713337,111,4,2,1,sqrt
14,45.5573623474005,45.5573623474005,0.021478880021987206,111,3,2,1,sqrt
15,45.55736234740048,45.55736234740048,0.021478880021987216,111,3,2,1,sqrt
