Iteration,Best RMSE,Current Population Best RMSE,Mean Population RMSE,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features
1,48.395750298775134,50.68218937157898,57.7795597428852,653,4,3,1,log2
2,48.395750298775134,53.9508527763518,58.024821669341065,653,4,3,1,log2
3,48.0792259718699,48.0792259718699,55.38779664787027,439,7,2,1,sqrt
4,48.0792259718699,48.55182145372177,57.38971689272355,439,7,2,1,sqrt
5,47.564824555097196,47.564824555097196,53.607619993041304,700,13,2,1,log2
6,47.564824555097196,47.564824555097196,53.318564751679986,700,13,2,1,log2
7,47.27814317837481,47.27814317837481,53.17386446667339,144,18,3,1,sqrt
8,47.27814317837481,47.362498214297005,52.78003812580932,144,18,3,1,sqrt
9,47.27814317837481,47.55830165394042,53.59907023497468,144,18,3,1,sqrt
10,46.598525392099155,46.598525392099155,50.57071628512649,100,20,3,1,sqrt
11,46.47021273414268,46.47021273414268,50.619214108449604,109,14,3,1,sqrt
12,45.99203300977214,45.99203300977214,50.44377216210041,100,7,2,1,sqrt
13,45.99203300977212,45.99203300977212,51.18548444118134,100,11,2,1,sqrt
14,45.99203300977212,45.992033009772136,49.839180826877616,100,11,2,1,sqrt
15,45.99203300977212,45.99203300977212,52.95730548405063,100,11,2,1,sqrt
