District,Date,Daily Rainfall (m.m),Actual Progressive Rainfall (m.m),Baseline RF Prediction (m.m),CSA RF Prediction (m.m),ANN Prediction (m.m),Best Model Prediction (m.m),CSA Absolute Error (m.m),Best Model Absolute Error (m.m),Data Type
Nandurbar,01-09-2025,1.7,460.1,467.6483,473.994,465.237,465.237,13.894,5.137,Training
Nandurbar,02-09-2025,4.3,461.8,463.4823,464.561,464.4254,464.4254,2.761,2.6254,Training
Nandurbar,03-09-2025,0.0,466.1,465.943,466.199,468.4382,468.4382,0.099,2.3382,Training
Nandurbar,04-09-2025,10.5,466.1,468.2037,468.049,471.7348,471.7348,1.949,5.6348,Training
Nandurbar,05-09-2025,49.1,476.6,482.2247,478.871,478.0463,478.0463,2.271,1.4463,Training
Nandurbar,06-09-2025,15.8,525.7,525.0883,523.269,527.9895,527.9895,2.431,2.2895,Training
Nandurbar,07-09-2025,21.8,541.5,541.9463,543.694,541.0647,541.0647,2.194,0.4353,Training
Nandurbar,08-09-2025,4.5,563.3,561.6537,561.792,564.808,564.808,1.508,1.508,Training
Nandurbar,09-09-2025,0.1,567.8,566.3303,565.504,570.3698,570.3698,2.296,2.5698,Training
Nandurbar,10-09-2025,0.0,567.9,564.9687,563.605,568.5864,568.5864,4.295,0.6864,Training
Nandurbar,11-09-2025,0.0,567.9,561.8733,560.986,562.9524,562.9524,6.914,4.9476,Training
Nandurbar,12-09-2025,0.0,567.9,559.1003,558.069,559.9016,559.9016,9.831,7.9984,Training
Nandurbar,13-09-2025,0.2,567.9,535.8803,531.282,533.0664,533.0664,36.618,34.8335,Testing
Nandurbar,14-09-2025,0.7,568.1,534.2243,529.508,525.6098,525.6098,38.592,42.4901,Testing
Nandurbar,15-09-2025,8.1,568.8,536.5637,530.811,570.2389,570.2389,37.989,1.4389,Testing
Nandurbar,16-09-2025,0.1,576.9,537.5553,531.542,581.5722,581.5722,45.358,4.6723,Testing
