District,Date,Daily Rainfall (m.m),Actual Progressive Rainfall (m.m),Random Forest Prediction (m.m),ANN Prediction (m.m),Best Model Prediction (m.m),Random Forest Error,ANN Error,Data Split
Nandurbar,01-09-2025,1.7,460.1,467.6483,462.6814,462.6814,-7.5483,-2.5815,Training
Nandurbar,02-09-2025,4.3,461.8,463.4823,461.4552,461.4552,-1.6823,0.3448,Training
Nandurbar,03-09-2025,0.0,466.1,465.943,466.5673,466.5673,0.157,-0.4673,Training
Nandurbar,04-09-2025,10.5,466.1,468.2037,468.6927,468.6927,-2.1037,-2.5927,Training
Nandurbar,05-09-2025,49.1,476.6,482.2247,476.1018,476.1018,-5.6247,0.4983,Training
Nandurbar,06-09-2025,15.8,525.7,525.0883,524.1314,524.1314,0.6117,1.5685,Training
Nandurbar,07-09-2025,21.8,541.5,541.9463,541.9684,541.9684,-0.4463,-0.4684,Training
Nandurbar,08-09-2025,4.5,563.3,561.6537,562.1344,562.1344,1.6463,1.1656,Training
Nandurbar,09-09-2025,0.1,567.8,566.3303,565.2143,565.2143,1.4697,2.5857,Training
Nandurbar,10-09-2025,0.0,567.9,564.9687,567.7222,567.7222,2.9313,0.1778,Training
Nandurbar,11-09-2025,0.0,567.9,561.8733,567.7258,567.7258,6.0267,0.1742,Training
Nandurbar,12-09-2025,0.0,567.9,559.1003,568.3802,568.3802,8.7997,-0.4802,Training
Nandurbar,13-09-2025,0.2,567.9,535.8803,556.4453,556.4453,32.0197,11.4547,Testing
Nandurbar,14-09-2025,0.7,568.1,534.2243,559.6743,559.6743,33.8757,8.4257,Testing
Nandurbar,15-09-2025,8.1,568.8,536.5637,557.1393,557.1393,32.2363,11.6607,Testing
Nandurbar,16-09-2025,0.1,576.9,537.5553,564.5727,564.5727,39.3447,12.3273,Testing
