District,Date,Daily Rainfall (m.m),Actual Progressive Rainfall (m.m),Baseline RF Prediction (m.m),PSO RF Prediction (m.m),ANN Prediction (m.m),Best Model Prediction (m.m),PSO Absolute Error (m.m),Best Model Absolute Error (m.m),Data Type
Nandurbar,01-09-2025,1.7,460.1,467.6483,471.2694,462.6814,462.6814,11.1694,2.5815,Training
Nandurbar,02-09-2025,4.3,461.8,463.4823,465.0848,461.4552,461.4552,3.2848,0.3448,Training
Nandurbar,03-09-2025,0.0,466.1,465.943,467.329,466.5673,466.5673,1.229,0.4673,Training
Nandurbar,04-09-2025,10.5,466.1,468.2037,468.9834,468.6927,468.6927,2.8834,2.5927,Training
Nandurbar,05-09-2025,49.1,476.6,482.2247,481.2811,476.1018,476.1018,4.6811,0.4983,Training
Nandurbar,06-09-2025,15.8,525.7,525.0883,523.8555,524.1314,524.1314,1.8445,1.5685,Training
Nandurbar,07-09-2025,21.8,541.5,541.9463,541.447,541.9684,541.9684,0.053,0.4684,Training
Nandurbar,08-09-2025,4.5,563.3,561.6537,560.82,562.1344,562.1344,2.48,1.1656,Training
Nandurbar,09-09-2025,0.1,567.8,566.3303,565.1382,565.2143,565.2143,2.6618,2.5857,Training
Nandurbar,10-09-2025,0.0,567.9,564.9687,564.7869,567.7222,567.7222,3.1131,0.1778,Training
Nandurbar,11-09-2025,0.0,567.9,561.8733,561.2195,567.7258,567.7258,6.6805,0.1742,Training
Nandurbar,12-09-2025,0.0,567.9,559.1003,559.0321,568.3802,568.3802,8.8679,0.4802,Training
Nandurbar,13-09-2025,0.2,567.9,535.8803,537.6375,556.4453,556.4453,30.2625,11.4547,Testing
Nandurbar,14-09-2025,0.7,568.1,534.2243,535.2158,559.6743,559.6743,32.8842,8.4257,Testing
Nandurbar,15-09-2025,8.1,568.8,536.5637,534.2798,557.1393,557.1393,34.5202,11.6607,Testing
Nandurbar,16-09-2025,0.1,576.9,537.5553,535.06,564.5727,564.5727,41.84,12.3273,Testing
